id,name,image_url
71204,Château Beaumont - Les Pierrières 2022,https://www.vinatis.com/71204-detail_default/château-beaumont---les-pierrières-2022.png
40943,"Prosecco DOC ""il Vino Dei Poeti"" - Bottega","https://www.vinatis.com/40943-detail_default/prosecco-doc-""il-vino-dei-poeti""---bottega.png"
68249,Montagne Noire 2022 - Auzias,https://www.vinatis.com/68249-detail_default/montagne-noire-2022---auzias.png
67866,Villa des Anges - GSM 2022 (Grenache/Syrah/Mourvèdre) - Jeff Carrel,https://www.vinatis.com/67866-detail_default/villa-des-anges---gsm-2022-(grenache/syrah/mourvèdre)---jeff-carrel.png
73079,Rosé 2024 - Domaine la Rose des Vents,https://www.vinatis.com/73079-detail_default/rosé-2024---domaine-la-rose-des-vents.png
73055,Château Sainte Croix - Rosé Charmeur 2024,https://www.vinatis.com/73055-detail_default/château-sainte-croix---rosé-charmeur-2024.png
72664,Confidence Rouge 2023 - Domaine Fond Croze,https://www.vinatis.com/72664-detail_default/confidence-rouge-2023---domaine-fond-croze.png
67899,Rioja Reserva Licenciado 2019 - Bodegas Burgo Viejo,https://www.vinatis.com/67899-detail_default/rioja-reserva-licenciado-2019---bodegas-burgo-viejo.png
73238,Mancinello Nero di Troia 2022 - Tagaro,https://www.vinatis.com/73238-detail_default/mancinello-nero-di-troia-2022---tagaro.png
62818,Triplico Multiplo 2022 - Botter,https://www.vinatis.com/62818-detail_default/triplico-multiplo-2022---botter.png
70850,Phi-Ling 2022 - Horgelus,https://www.vinatis.com/70850-detail_default/phi-ling-2022---horgelus.png
74041,Alpilles Rosé 2024 - Domaine de Valdition,https://www.vinatis.com/74041-detail_default/alpilles-rosé-2024---domaine-de-valdition.png
72885,Comte Desclos 2023,https://www.vinatis.com/72885-detail_default/comte-desclos-2023.png
66050,Brouilly - Les Clochers 2023 - Vignerons de Bel Air,https://www.vinatis.com/66050-detail_default/brouilly---les-clochers-2023---vignerons-de-bel-air.png
20854,UBY Cub Blanc Sec 5 L,https://www.vinatis.com/20854-detail_default/uby-cub-blanc-sec-5-l.png
62392,Pack Best of Pink Days,https://www.vinatis.com/62392-detail_default/pack-best-of-pink-days.png
73758,Le Sens du Vent Rosé 2024 - Flores,https://www.vinatis.com/73758-detail_default/le-sens-du-vent-rosé-2024---flores.png
55314,Château Pierron 2019,https://www.vinatis.com/55314-detail_default/château-pierron-2019.png
74873,Harmonie de Gascogne Rosé 2024 - Domaine Pellehaut,https://www.vinatis.com/74873-detail_default/harmonie-de-gascogne-rosé-2024---domaine-pellehaut.png
74533,Chardonnay 2023 - Grande Réserve  - Maison Castel,https://www.vinatis.com/74533-detail_default/chardonnay-2023---grande-réserve----maison-castel.png
